,tweet_id,in_reply_to_status_id,in_reply_to_user_id,text,expanded_urls,rating_numerator,rating_denominator,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
30,886267009285017600,8.862663570751283e+17,2281181600.0,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution,,12,10,Twitter for iPhone,,None,,,,,,,,,,,,105.0,4.0,1.2
55,881633300179243008,8.816070373140521e+17,47384430.0,@roushfenway These are good dogs but 17/10 is an emotional impulse rating. More like 13/10s,,17,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.7
64,879674319642796034,8.795538273341727e+17,3105440746.0,@RealKentMurphy 14/10 confirmed,,14,10,Twitter for iPhone,,None,,,,,,,,,,,,280.0,9.0,1.4
113,870726314365509632,8.707262027424932e+17,16487760.0,@ComplicitOwl @ShopWeRateDogs &gt;10/10 is reserved for dogs,,10,10,Twitter for iPhone,,None,,,,,,,,,,,,105.0,3.0,1.0
148,863427515083354112,8.634256455687741e+17,77596200.0,"@Jack_Septic_Eye I'd need a few more pics to polish a full analysis, but based on the good boy content above I'm leaning towards 12/10",,12,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
149,863079547188785154,6.671521640794235e+17,4196983835.0,"Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen",https://twitter.com/dog_rates/status/863079547188785154/photo/1,14,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg,1.0,Lakeland_terrier,0.275242,True,Airedale,0.190569,True,teddy,0.102595,False,7867.0,949.0,1.4
179,857214891891077121,8.571566780553421e+17,180670967.0,@Marc_IRL pixelated af 12/10,,12,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
184,856526610513747968,8.55818117272019e+17,4196983835.0,"THIS IS CHARLIE, MARK. HE DID JUST WANT TO SAY HI AFTER ALL. PUPGRADED TO A 14/10. WOULD BE AN HONOR TO FLY WITH https://t.co/p1hBHCmWnA",https://twitter.com/dog_rates/status/856526610513747968/photo/1,14,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/C-L-aIYXgAIR0jY.jpg,1.0,Old_English_sheepdog,0.798481,True,Tibetan_terrier,0.0606024,True,standard_poodle,0.0407219,True,,,1.4
186,856288084350160898,8.562860041095537e+17,279280991.0,@xianmcguire @Jenna_Marbles Kardashians wouldn't be famous if as a society we didn't place enormous value on what they do. The dogs are very deserving of their 14/10,,14,10,Twitter for iPhone,,None,,,,,,,,,,,,486.0,15.0,1.4
188,855862651834028034,8.558615844633518e+17,194351775.0,@dhmontgomery We also gave snoop dogg a 420/10 but I think that predated your research,,420,10,Twitter for iPhone,,None,,,,,,,,,,,,302.0,21.0,0.0
189,855860136149123072,8.558585356070011e+17,13615722.0,"@s8n You tried very hard to portray this good boy as not so good, but you have ultimately failed. His goodness shines through. 666/10",,666,10,Twitter for iPhone,,None,,,,,,,,,,,,,,0.0
218,850333567704068097,8.503288187788206e+17,21955058.0,@markhoppus MARK THAT DOG HAS SEEN AND EXPERIENCED MANY THINGS. PROBABLY LOST OTHER EAR DOING SOMETHING HEROIC. 13/10 HUG THE DOG HOPPUS,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,3184.0,301.0,1.3
228,848213670039564288,8.482121117298401e+17,4196983835.0,Jerry just apuppologized to me. He said there was no ill-intent to the slippage. I overreacted I admit. Pupgraded to an 11/10 would pet,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,7533.0,644.0,1.1
234,847617282490613760,8.476061755961385e+17,4196983835.0,.@breaannanicolee PUPDATE: Cannon has a heart on his nose. Pupgraded to a 13/10,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,6464.0,376.0,1.3
251,844979544864018432,7.590995235327795e+17,4196983835.0,"PUPDATE: I'm proud to announce that Toby is 236 days sober. Pupgraded to a 13/10. We're all very proud of you, Toby https://t.co/a5OaJeRl9B","https://twitter.com/dog_rates/status/844979544864018432/photo/1,https://twitter.com/dog_rates/status/844979544864018432/photo/1,https://twitter.com/dog_rates/status/844979544864018432/photo/1",13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/C7n4aQ0VAAAohkL.jpg,3.0,tennis_ball,0.999281,False,racket,0.00037008,False,Shetland_sheepdog,0.000132068,True,12643.0,2306.0,1.3
274,840698636975636481,8.406983002988626e+17,8.405478643549184e+17,@0_kelvin_0 &gt;10/10 is reserved for puppos sorry Kevin,,10,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.0
290,838150277551247360,8.381454986911949e+17,21955058.0,@markhoppus 182/10,,182,10,Twitter for iPhone,,None,,,,,,,,,,,,,,18.2
291,838085839343206401,8.380855393624023e+17,2894131180.0,@bragg6of8 @Andy_Pace_ we are still looking for the first 15/10,,15,10,Twitter for iPhone,,None,,,,,,,,,,,,133.0,1.0,1.5
313,835246439529840640,8.35245984028504e+17,26259576.0,"@jonnysun @Lin_Manuel ok jomny I know you're excited but 960/00 isn't a valid rating, 13/10 is tho",,960,0,Twitter for iPhone,,None,,,,,,,,,,,,1988.0,63.0,0.0
