,tweet_id,text,retweeted_status_id,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,rt_date,rt_year,rt_month,rt_day,rt_time,t_time_a,rt_time_a,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
19,888202515573088257,RT @dog_rates: This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,8.874739571039519e+17,4196983835.0,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13,10,2017-07-19,2017.0,7.0,19.0,00:47:34 ,1,0.0,Twitter for iPhone,,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,,,1.3
32,886054160059072513,RT @Athletics: 12/10 #BATP https://t.co/WxwJmvjfxo,8.860537344211026e+17,19607400.0,"https://twitter.com/dog_rates/status/886053434075471873,https://twitter.com/dog_rates/status/886053434075471873",12,10,2017-07-15,2017.0,7.0,15.0,02:44:07 ,2,2.0,Twitter for iPhone,,None,,,,,,,,,,,,0.0,93.0,1.2
36,885311592912609280,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,8.305833205850685e+17,4196983835.0,"https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1",13,10,2017-02-12,2017.0,2.0,12.0,01:04:29 ,1,1.0,Twitter for iPhone,,Lilly,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,1.0,Labrador_retriever,0.908703,True,seat_belt,0.0570909,False,pug,0.0119335,True,0.0,15377.0,1.3
68,879130579576475649,RT @dog_rates: This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://…,8.780576130401157e+17,4196983835.0,"https://twitter.com/dog_rates/status/878057613040115712/photo/1,https://twitter.com/dog_rates/status/878057613040115712/photo/1",14,10,2017-06-23,2017.0,6.0,23.0,01:10:23 ,0,1.0,Twitter for iPhone,,Emmy,,,,,,,,,,,,0.0,5714.0,1.4
73,878404777348136964,"RT @dog_rates: Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https:/…",8.782815110064783e+17,4196983835.0,"https://www.gofundme.com/3yd6y1c,https://twitter.com/dog_rates/status/878281511006478336/photo/1",13,10,2017-06-23,2017.0,6.0,23.0,16:00:04 ,0,16.0,Twitter for iPhone,,Shadow,,,,,,,,,,,,,,1.3
74,878316110768087041,RT @dog_rates: Meet Terrance. He's being yelled at because he stapled the wrong stuff together. 11/10 hang in there Terrance https://t.co/i…,6.690003974455337e+17,4196983835.0,https://twitter.com/dog_rates/status/669000397445533696/photo/1,11,10,2015-11-24,2015.0,11.0,24.0,03:51:38 ,18,3.0,Twitter for iPhone,,Terrance,,,,,,,,,,,,0.0,5502.0,1.1
78,877611172832227328,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,8.76850772322988e+17,512804507.0,"https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1",14,10,2017-06-19,2017.0,6.0,19.0,17:14:49 ,19,17.0,Twitter for iPhone,pupper,None,https://pbs.twimg.com/media/DCszHgmW0AAmIpT.jpg,1.0,Irish_setter,0.364729,True,golden_retriever,0.202907,True,Irish_terrier,0.107473,True,0.0,70.0,1.4
91,874434818259525634,RT @dog_rates: This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly https://t.c…,8.663349647612027e+17,4196983835.0,"https://twitter.com/dog_rates/status/866334964761202691/photo/1,https://twitter.com/dog_rates/status/866334964761202691/photo/1",12,10,2017-05-21,2017.0,5.0,21.0,16:48:45 ,1,16.0,Twitter for iPhone,,Coco,,,,,,,,,,,,,,1.2
95,873697596434513921,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,8.688803978194944e+17,4196983835.0,"https://twitter.com/dog_rates/status/868880397819494401/photo/1,https://twitter.com/dog_rates/status/868880397819494401/photo/1",14,10,2017-05-28,2017.0,5.0,28.0,17:23:24 ,0,17.0,Twitter for iPhone,,Walter,https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,1.0,laptop,0.153718,False,French_bulldog,0.0999839,True,printer,0.0771299,False,,,1.4
97,873337748698140672,"RT @dog_rates: This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https:/…",8.732137756329779e+17,4196983835.0,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1",12,10,2017-06-09,2017.0,6.0,9.0,16:22:42 ,0,16.0,Twitter for iPhone,pupper,Sierra,,,,,,,,,,,,0.0,1327.0,1.2
101,872668790621863937,"RT @loganamnosis: Penelope here is doing me quite a divertir. Well done, @dog_rates! Loving the pupdate. 14/10, je jouerais de nouveau. htt…",8.726575842595512e+17,154767397.0,https://twitter.com/loganamnosis/status/872657584259551233/photo/1,14,10,2017-06-08,2017.0,6.0,8.0,03:32:35 ,4,3.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.4
109,871166179821445120,RT @dog_rates: This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her https://t.co/X…,8.41077006473257e+17,4196983835.0,https://twitter.com/dog_rates/status/841077006473256960/photo/1,12,10,2017-03-13,2017.0,3.0,13.0,00:02:39 ,0,0.0,Twitter for iPhone,,Dawn,,,,,,,,,,,,0.0,4880.0,1.2
118,869988702071779329,RT @dog_rates: We only rate dogs. This is quite clearly a smol broken polar bear. We'd appreciate if you only send dogs. Thank you... 12/10…,8.591969789027738e+17,4196983835.0,https://twitter.com/dog_rates/status/859196978902773760/video/1,12,10,2017-05-02,2017.0,5.0,2.0,00:04:57 ,18,0.0,Twitter for iPhone,,,,,,,,,,,,,,,,1.2
124,868639477480148993,"RT @dog_rates: Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://…",8.685522785248379e+17,4196983835.0,"https://www.gofundme.com/3ti3nps,https://twitter.com/dog_rates/status/868552278524837888/photo/1,https://twitter.com/dog_rates/status/868552278524837888/photo/1",12,10,2017-05-27,2017.0,5.0,27.0,19:39:34 ,1,19.0,Twitter for iPhone,,Cooper,,,,,,,,,,,,0.0,1744.0,1.2
130,867072653475098625,RT @rachaeleasler: these @dog_rates hats are 13/10 bean approved https://t.co/nRCdq4g9gG,8.650134204453683e+17,7.874617784352891e+17,"https://twitter.com/rachaeleasler/status/865013420445368320/photo/1,https://twitter.com/rachaeleasler/status/865013420445368320/photo/1,https://twitter.com/rachaeleasler/status/865013420445368320/photo/1,https://twitter.com/rachaeleasler/status/865013420445368320/photo/1",13,10,2017-05-18,2017.0,5.0,18.0,01:17:25 ,17,1.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/DAElHfmUMAEH9lB.jpg,1.0,Blenheim_spaniel,0.352946,True,papillon,0.211766,True,Pekinese,0.112952,True,0.0,100.0,1.3
132,866816280283807744,"RT @dog_rates: This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender https://t.co/wk7T…",8.664507055314575e+17,4196983835.0,"https://twitter.com/dog_rates/status/866450705531457537/photo/1,https://twitter.com/dog_rates/status/866450705531457537/photo/1",13,10,2017-05-22,2017.0,5.0,22.0,00:28:40 ,0,0.0,Twitter for iPhone,pupper,Jamesy,,,,,,,,,,,,,,1.3
